Valeur,Dernier
ACCOR,27.87
AIR LIQUIDE,123.6
AIRBUS,61.7
ARCELORMITTAL S...,9.476
ATOS,61.88
AXA,15.59
BNP PARIBAS,28.365
BOUYGUES,28.97
CAPGEMINI,82.44
CARREFOUR,14.59
CREDIT AGRICOLE,6.882
DANONE,61
DASSAULT SYSTEM...,132.35
ENGIE,9.824
ESSILORLUXOTTIC...,108.5
HERMES INTL,659.8
KERING,492.25
L OREAL,252.4
LEGRAND,60.2
LVMH,354.85
MICHELIN,85.88
ORANGE,11.65
PERNOD RICARD,138.25
PEUGEOT,12.81
PUBLICIS GROUPE,29.52
RENAULT,18.436
SAFRAN,79.38
SAINT GOBAIN,25.65
SANOFI,84.1
SCHNEIDER ELECT...,82.46
SOCIETE GENERAL...,15.07
SODEXO,71.14
STMICROELECTRON...,22.26
THALES,72.16
TOTAL,33.58
UNIBAIL-RODAMCO...,59.2
VEOLIA ENVIRONN...,19.065
VINCI,78.14
VIVENDI,21.22
WORLDLINE,61.82
