Message; marque de la voiture; type
Message n°A; Lamborghini; sportive
Message n°B; Ferrari; sportive
Message n°C; Maserati; sportive
Message n°D; Alpine; sportive
Message n°E; Renault; classique
Message n°F; Peugeot; classique
Message n°G; Fiat; classique
Message n°H; Citroen; classique
Message n°I; DS; classique
Message n°J; Porsche; sportive
Message n°K; Mercedes; classique
Message n°L; BMW; classique
Message n°M; Opel; classique
Message n°N; Volkswagen; classique
Message n°O; Audi; classique
Message n°P; Tesla; 100% electrique
Message n°Q; Ford; classique
Message n°R; Mc Laren; sportive
Message n°S; Lotus; sportive
Message n°T; Bugati; sportive
Message n°U; Bentley; classique
Message n°V; Aston Martin; sportive
Message n°W; Volvo; classique
Message n°X; Mini; classique
Message n°Y; Smart; classique
Message n°Z; Skoda; classique
